timestamp,price,regime,regime_confidence,strategy,strategy_confidence,signal,causal_sentiment,position,portfolio_value
2025-09-15 08:00:00,115070.0,Tendencia Alcista,0.0,momentum,0.6706151,1.0,0.2,long,493.85912279999997
2025-09-15 12:00:00,114842.9,Tendencia Bajista,0.0,momentum,0.75927365,1.0,0.2,long,493.63202279999996
2025-09-15 16:00:00,115307.78,Alta Volatilidad/Pánico,0.0,momentum,0.82339877,1.0,0.2,long,494.09690279999995
2025-09-15 20:00:00,115349.71,Tendencia Alcista,0.0,momentum,0.69185525,1.0,0.2,long,494.1388328
2025-09-16 00:00:00,115307.25,Tendencia Alcista,0.0,mean_reversion,0.6100603,0.0,0.2,long,494.0963728
2025-09-16 04:00:00,115840.0,Tendencia Alcista,0.0,momentum,0.6316839,1.0,0.2,long,494.6291228
2025-09-16 08:00:00,115287.83,Tendencia Alcista,0.0,mean_reversion,0.49755907,0.0,0.2,long,494.07695279999996
2025-09-16 12:00:00,115905.88,Tendencia Bajista,0.0,momentum,0.85366106,1.0,0.2,long,494.6950028
2025-09-16 16:00:00,116800.12,Tendencia Alcista,0.0,momentum,0.8545962,1.0,0.2,long,495.58924279999997
2025-09-16 20:00:00,116788.96,Alta Volatilidad/Pánico,0.0,momentum,0.6692218,1.0,0.2,long,495.57808279999995
2025-09-17 00:00:00,116372.04,Lateral/Consolidación,0.0,momentum,0.6733612,1.0,0.2,long,495.16116279999994
2025-09-17 04:00:00,117162.48,Tendencia Bajista,0.0,momentum,0.6517753,1.0,0.2,long,495.9516028
2025-09-17 08:00:00,116258.13,Lateral/Consolidación,0.0,mean_reversion,0.6769342,-1.0,0.2,long,495.04725279999997
2025-09-17 12:00:00,115875.32,Lateral/Consolidación,0.0,mean_reversion,0.59289443,0.0,0.2,long,494.66444279999996
2025-09-17 16:00:00,115652.02,Tendencia Bajista,0.0,momentum,0.7208721,1.0,0.2,long,494.44114279999997
2025-09-17 20:00:00,116447.59,Alta Volatilidad/Pánico,0.0,momentum,0.67377573,1.0,0.2,long,495.23671279999996
2025-09-18 00:00:00,117581.66,Lateral/Consolidación,0.0,mean_reversion,0.5985851,0.0,0.2,long,496.3707828
