2025-10-18 12:45:55,491 - ERROR - Error processing ADAUSDT: operands could not be broadcast together with shapes (19,) (20,) 
2025-10-18 12:45:55,494 - ERROR - Error processing DOTUSDT: operands could not be broadcast together with shapes (19,) (20,) 
2025-10-18 12:45:55,597 - ERROR - Error processing BTCUSDT: operands could not be broadcast together with shapes (19,) (20,) 
2025-10-18 12:45:55,601 - ERROR - Error processing ETHUSDT: operands could not be broadcast together with shapes (19,) (20,) 
2025-10-18 12:45:55,603 - ERROR - Error processing ADAUSDT: operands could not be broadcast together with shapes (19,) (20,) 
2025-10-18 12:45:55,606 - ERROR - Error processing DOTUSDT: operands could not be broadcast together with shapes (19,) (20,) 
2025-10-18 12:45:55,710 - ERROR - Error processing BTCUSDT: operands could not be broadcast together with shapes (19,) (20,) 
2025-10-18 12:45:55,714 - ERROR - Error processing ETHUSDT: operands could not be broadcast together with shapes (19,) (20,) 
2025-10-18 12:45:55,716 - ERROR - Error processing ADAUSDT: operands could not be broadcast together with shapes (19,) (20,) 
2025-10-18 12:45:55,720 - ERROR - Error processing DOTUSDT: operands could not be broadcast together with shapes (19,) (20,) 
2025-10-18 12:45:55,822 - ERROR - Error processing BTCUSDT: operands could not be broadcast together with shapes (19,) (20,) 
2025-10-18 12:45:55,825 - ERROR - Error processing ETHUSDT: operands could not be broadcast together with shapes (19,) (20,) 
2025-10-18 12:45:55,828 - ERROR - Error processing ADAUSDT: operands could not be broadcast together with shapes (19,) (20,) 
2025-10-18 12:45:55,832 - ERROR - Error processing DOTUSDT: operands could not be broadcast together with shapes (19,) (20,) 
2025-10-18 12:45:55,935 - ERROR - Error processing BTCUSDT: operands could not be broadcast together with shapes (19,) (20,) 
2025-10-18 12:45:55,937 - ERROR - Error processing ETHUSDT: operands could not be broadcast together with shapes (19,) (20,) 
2025-10-18 12:45:55,941 - ERROR - Error processing ADAUSDT: operands could not be broadcast together with shapes (19,) (20,) 
2025-10-18 12:45:55,945 - ERROR - Error processing DOTUSDT: operands could not be broadcast together with shapes (19,) (20,) 
2025-10-18 12:45:56,048 - ERROR - Error processing BTCUSDT: operands could not be broadcast together with shapes (19,) (20,) 
2025-10-18 12:45:56,051 - ERROR - Error processing ETHUSDT: operands could not be broadcast together with shapes (19,) (20,) 
2025-10-18 12:45:56,054 - ERROR - Error processing ADAUSDT: operands could not be broadcast together with shapes (19,) (20,) 
2025-10-18 12:45:56,056 - ERROR - Error processing DOTUSDT: operands could not be broadcast together with shapes (19,) (20,) 
2025-10-18 12:45:56,161 - ERROR - Error processing BTCUSDT: operands could not be broadcast together with shapes (19,) (20,) 
2025-10-18 12:45:56,165 - ERROR - Error processing ETHUSDT: operands could not be broadcast together with shapes (19,) (20,) 
2025-10-18 12:45:56,167 - ERROR - Error processing ADAUSDT: operands could not be broadcast together with shapes (19,) (20,) 
2025-10-18 12:45:56,169 - ERROR - Error processing DOTUSDT: operands could not be broadcast together with shapes (19,) (20,) 
2025-10-18 12:45:56,272 - ERROR - Error processing BTCUSDT: operands could not be broadcast together with shapes (19,) (20,) 
2025-10-18 12:45:56,276 - ERROR - Error processing ETHUSDT: operands could not be broadcast together with shapes (19,) (20,) 
2025-10-18 12:45:56,280 - ERROR - Error processing ADAUSDT: operands could not be broadcast together with shapes (19,) (20,) 
2025-10-18 12:45:56,283 - ERROR - Error processing DOTUSDT: operands could not be broadcast together with shapes (19,) (20,) 
2025-10-18 12:45:56,386 - ERROR - Error processing BTCUSDT: operands could not be broadcast together with shapes (19,) (20,) 
2025-10-18 12:45:56,389 - ERROR - Error processing ETHUSDT: operands could not be broadcast together with shapes (19,) (20,) 
2025-10-18 12:45:56,392 - ERROR - Error processing ADAUSDT: operands could not be broadcast together with shapes (19,) (20,) 
2025-10-18 12:45:56,395 - ERROR - Error processing DOTUSDT: operands could not be broadcast together with shapes (19,) (20,) 
2025-10-18 12:45:56,499 - ERROR - Error processing BTCUSDT: operands could not be broadcast together with shapes (19,) (20,) 
2025-10-18 12:45:56,502 - ERROR - Error processing ETHUSDT: operands could not be broadcast together with shapes (19,) (20,) 
2025-10-18 12:45:56,504 - ERROR - Error processing ADAUSDT: operands could not be broadcast together with shapes (19,) (20,) 
2025-10-18 12:45:56,508 - ERROR - Error processing DOTUSDT: operands could not be broadcast together with shapes (19,) (20,) 
2025-10-18 12:45:56,613 - ERROR - Error processing BTCUSDT: operands could not be broadcast together with shapes (19,) (20,) 
2025-10-18 12:45:56,616 - ERROR - Error processing ETHUSDT: operands could not be broadcast together with shapes (19,) (20,) 
2025-10-18 12:45:56,620 - ERROR - Error processing ADAUSDT: operands could not be broadcast together with shapes (19,) (20,) 
2025-10-18 12:45:56,623 - ERROR - Error processing DOTUSDT: operands could not be broadcast together with shapes (19,) (20,) 
2025-10-18 12:45:56,727 - ERROR - Error processing BTCUSDT: operands could not be broadcast together with shapes (19,) (20,) 
2025-10-18 12:45:56,731 - ERROR - Error processing ETHUSDT: operands could not be broadcast together with shapes (19,) (20,) 
2025-10-18 12:45:56,735 - ERROR - Error processing ADAUSDT: operands could not be broadcast together with shapes (19,) (20,) 
2025-10-18 12:45:56,739 - ERROR - Error processing DOTUSDT: operands could not be broadcast together with shapes (19,) (20,) 
2025-10-18 12:45:56,842 - ERROR - Error processing BTCUSDT: operands could not be broadcast together with shapes (19,) (20,) 
2025-10-18 12:45:56,845 - ERROR - Error processing ETHUSDT: operands could not be broadcast together with shapes (19,) (20,) 
2025-10-18 12:45:56,848 - ERROR - Error processing ADAUSDT: operands could not be broadcast together with shapes (19,) (20,) 
2025-10-18 12:45:56,850 - ERROR - Error processing DOTUSDT: operands could not be broadcast together with shapes (19,) (20,) 
2025-10-18 12:45:56,953 - ERROR - Error processing BTCUSDT: operands could not be broadcast together with shapes (19,) (20,) 
2025-10-18 12:45:56,955 - ERROR - Error processing ETHUSDT: operands could not be broadcast together with shapes (19,) (20,) 
2025-10-18 12:45:56,959 - ERROR - Error processing ADAUSDT: operands could not be broadcast together with shapes (19,) (20,) 
2025-10-18 12:45:56,964 - ERROR - Error processing DOTUSDT: operands could not be broadcast together with shapes (19,) (20,) 
2025-10-18 12:45:57,066 - ERROR - Error processing BTCUSDT: operands could not be broadcast together with shapes (19,) (20,) 
2025-10-18 12:45:57,068 - ERROR - Error processing ETHUSDT: operands could not be broadcast together with shapes (19,) (20,) 
2025-10-18 12:45:57,071 - ERROR - Error processing ADAUSDT: operands could not be broadcast together with shapes (19,) (20,) 
2025-10-18 12:45:57,075 - ERROR - Error processing DOTUSDT: operands could not be broadcast together with shapes (19,) (20,) 
2025-10-18 12:45:57,184 - ERROR - Error processing BTCUSDT: operands could not be broadcast together with shapes (19,) (20,) 
2025-10-18 12:45:57,188 - ERROR - Error processing ETHUSDT: operands could not be broadcast together with shapes (19,) (20,) 
2025-10-18 12:45:57,197 - ERROR - Error processing ADAUSDT: operands could not be broadcast together with shapes (19,) (20,) 
2025-10-18 12:45:57,202 - ERROR - Error processing DOTUSDT: operands could not be broadcast together with shapes (19,) (20,) 
2025-10-18 12:45:57,306 - ERROR - Error processing BTCUSDT: operands could not be broadcast together with shapes (19,) (20,) 
2025-10-18 12:45:57,309 - ERROR - Error processing ETHUSDT: operands could not be broadcast together with shapes (19,) (20,) 
2025-10-18 12:45:57,316 - ERROR - Error processing ADAUSDT: operands could not be broadcast together with shapes (19,) (20,) 
2025-10-18 12:45:57,322 - ERROR - Error processing DOTUSDT: operands could not be broadcast together with shapes (19,) (20,) 
2025-10-18 12:45:57,431 - ERROR - Error processing BTCUSDT: operands could not be broadcast together with shapes (19,) (20,) 
2025-10-18 12:45:57,434 - ERROR - Error processing ETHUSDT: operands could not be broadcast together with shapes (19,) (20,) 
2025-10-18 12:45:57,436 - ERROR - Error processing ADAUSDT: operands could not be broadcast together with shapes (19,) (20,) 
2025-10-18 12:45:57,439 - ERROR - Error processing DOTUSDT: operands could not be broadcast together with shapes (19,) (20,) 
2025-10-18 12:45:57,543 - ERROR - Error processing BTCUSDT: operands could not be broadcast together with shapes (19,) (20,) 
2025-10-18 12:45:57,546 - ERROR - Error processing ETHUSDT: operands could not be broadcast together with shapes (19,) (20,) 
2025-10-18 12:45:57,549 - ERROR - Error processing ADAUSDT: operands could not be broadcast together with shapes (19,) (20,) 
2025-10-18 12:45:57,552 - ERROR - Error processing DOTUSDT: operands could not be broadcast together with shapes (19,) (20,) 
2025-10-18 12:45:57,656 - ERROR - Error processing BTCUSDT: operands could not be broadcast together with shapes (19,) (20,) 
2025-10-18 12:45:57,659 - ERROR - Error processing ETHUSDT: operands could not be broadcast together with shapes (19,) (20,) 
2025-10-18 12:45:57,663 - ERROR - Error processing ADAUSDT: operands could not be broadcast together with shapes (19,) (20,) 
2025-10-18 12:45:57,668 - ERROR - Error processing DOTUSDT: operands could not be broadcast together with shapes (19,) (20,) 
2025-10-18 12:45:57,770 - INFO - Session completed - Capital: $200.00, ROI: 0.00%, Trades: 0
