2025-10-16 19:38:35 | INFO | sicar.main | 📢 ALERTA DASHBOARD: Dashboard mejorado iniciado correctamente
2025-10-16 19:43:20 | INFO | sicar.main | 🔄 SYNC LOAD: ✅ ÉXITO
2025-10-16 19:43:20 | INFO | sicar.main |    Detalles: Datos cargados: 15 campos
2025-10-16 19:43:22 | INFO | sicar.main | 📢 ALERTA OBSERVER_ADDED: Observador agregado al detector de breakouts
2025-10-16 19:43:22 | INFO | sicar.main | 🔄 SYNC AUTO_SYNC: ✅ ÉXITO
2025-10-16 19:43:22 | INFO | sicar.main |    Detalles: Sincronización automática iniciada
2025-10-16 19:43:22 | INFO | sicar.main | 📢 ALERTA BREAKOUT_DETECTOR: Detector de breakouts iniciado
2025-10-16 19:43:22 | INFO | sicar.main | 📢 ALERTA DASHBOARD: Dashboard mejorado iniciado correctamente
2025-10-16 22:12:37 | INFO | sicar.main | 📢 ALERTA BREAKOUT_DETECTOR: Detector de breakouts iniciado
2025-10-16 22:12:52 | INFO | sicar.main | 📢 ALERTA BREAKOUT_DETECTOR: Detector de breakouts detenido
2025-10-16 22:13:00 | INFO | sicar.main | 📢 ALERTA BREAKOUT_DETECTOR: Detector de breakouts iniciado
2025-10-16 22:13:05 | INFO | sicar.main | 📢 ALERTA BREAKOUT_DETECTOR: Detector de breakouts detenido
2025-10-16 22:13:13 | INFO | sicar.main | 📢 ALERTA BREAKOUT_DETECTOR: Detector de breakouts iniciado
2025-10-16 22:13:18 | INFO | sicar.main | 📢 ALERTA BREAKOUT_DETECTOR: Detector de breakouts detenido
2025-10-16 22:13:23 | INFO | sicar.main | 📢 ALERTA BREAKOUT_DETECTOR: Detector de breakouts iniciado
2025-10-16 22:13:28 | INFO | sicar.main | 📢 ALERTA BREAKOUT_DETECTOR: Detector de breakouts detenido
2025-10-16 22:13:34 | INFO | sicar.main | 📢 ALERTA BREAKOUT_DETECTOR: Detector de breakouts iniciado
2025-10-16 22:13:39 | INFO | sicar.main | 📢 ALERTA BREAKOUT_DETECTOR: Detector de breakouts detenido
2025-10-16 22:14:11 | INFO | sicar.main | 📢 ALERTA BREAKOUT_DETECTOR: Detector de breakouts iniciado
2025-10-16 22:14:26 | INFO | sicar.main | 📢 ALERTA BREAKOUT_DETECTOR: Detector de breakouts detenido
2025-10-16 22:14:34 | INFO | sicar.main | 📢 ALERTA BREAKOUT_DETECTOR: Detector de breakouts iniciado
2025-10-16 22:14:39 | INFO | sicar.main | 📢 ALERTA BREAKOUT_DETECTOR: Detector de breakouts detenido
2025-10-16 22:14:47 | INFO | sicar.main | 📢 ALERTA BREAKOUT_DETECTOR: Detector de breakouts iniciado
2025-10-16 22:14:52 | INFO | sicar.main | 📢 ALERTA BREAKOUT_DETECTOR: Detector de breakouts detenido
2025-10-16 22:14:57 | INFO | sicar.main | 📢 ALERTA BREAKOUT_DETECTOR: Detector de breakouts iniciado
2025-10-16 22:15:02 | INFO | sicar.main | 📢 ALERTA BREAKOUT_DETECTOR: Detector de breakouts detenido
2025-10-16 22:15:08 | INFO | sicar.main | 📢 ALERTA BREAKOUT_DETECTOR: Detector de breakouts iniciado
2025-10-16 22:15:13 | INFO | sicar.main | 📢 ALERTA BREAKOUT_DETECTOR: Detector de breakouts detenido
2025-10-16 22:15:21 | INFO | sicar.main | 📢 ALERTA BREAKOUT_DETECTOR: Detector de breakouts iniciado
2025-10-16 22:15:42 | INFO | sicar.main | 📢 ALERTA BREAKOUT_DETECTOR: Detector de breakouts detenido
2025-10-16 22:23:10 | INFO | sicar.main | 🔄 SYNC LOAD: ✅ ÉXITO
2025-10-16 22:23:10 | INFO | sicar.main |    Detalles: Datos cargados: 15 campos
2025-10-16 22:23:14 | INFO | sicar.main | 📢 ALERTA OBSERVER_ADDED: Observador agregado al detector de breakouts
2025-10-16 22:23:14 | INFO | sicar.main | 🔄 SYNC AUTO_SYNC: ✅ ÉXITO
2025-10-16 22:23:14 | INFO | sicar.main |    Detalles: Sincronización automática iniciada
2025-10-16 22:23:14 | INFO | sicar.main | 📢 ALERTA BREAKOUT_DETECTOR: Detector de breakouts iniciado
2025-10-16 22:23:14 | INFO | sicar.main | 📢 ALERTA DASHBOARD: Dashboard mejorado iniciado correctamente
2025-10-16 22:23:53 | INFO | sicar.main | 🔄 SYNC LOAD: ✅ ÉXITO
2025-10-16 22:23:53 | INFO | sicar.main |    Detalles: Datos cargados: 15 campos
2025-10-16 22:23:56 | INFO | sicar.main | 📢 ALERTA OBSERVER_ADDED: Observador agregado al detector de breakouts
2025-10-16 22:23:56 | INFO | sicar.main | 🔄 SYNC AUTO_SYNC: ✅ ÉXITO
2025-10-16 22:23:56 | INFO | sicar.main |    Detalles: Sincronización automática iniciada
2025-10-16 22:23:56 | INFO | sicar.main | 📢 ALERTA BREAKOUT_DETECTOR: Detector de breakouts iniciado
2025-10-16 22:23:56 | INFO | sicar.main | 📢 ALERTA DASHBOARD: Dashboard mejorado iniciado correctamente
2025-10-16 22:24:31 | INFO | sicar.main | 🔄 SYNC LOAD: ✅ ÉXITO
2025-10-16 22:24:31 | INFO | sicar.main |    Detalles: Datos cargados: 15 campos
2025-10-16 22:24:35 | INFO | sicar.main | 📢 ALERTA OBSERVER_ADDED: Observador agregado al detector de breakouts
2025-10-16 22:24:35 | INFO | sicar.main | 🔄 SYNC AUTO_SYNC: ✅ ÉXITO
2025-10-16 22:24:35 | INFO | sicar.main |    Detalles: Sincronización automática iniciada
2025-10-16 22:24:35 | INFO | sicar.main | 📢 ALERTA BREAKOUT_DETECTOR: Detector de breakouts iniciado
2025-10-16 22:24:35 | INFO | sicar.main | 📢 ALERTA DASHBOARD: Dashboard mejorado iniciado correctamente
2025-10-16 22:25:27 | INFO | sicar.main | 🔄 SYNC LOAD: ✅ ÉXITO
2025-10-16 22:25:27 | INFO | sicar.main |    Detalles: Datos cargados: 15 campos
2025-10-16 22:25:30 | INFO | sicar.main | 📢 ALERTA OBSERVER_ADDED: Observador agregado al detector de breakouts
2025-10-16 22:25:30 | INFO | sicar.main | 🔄 SYNC AUTO_SYNC: ✅ ÉXITO
2025-10-16 22:25:30 | INFO | sicar.main |    Detalles: Sincronización automática iniciada
2025-10-16 22:25:30 | INFO | sicar.main | 📢 ALERTA BREAKOUT_DETECTOR: Detector de breakouts iniciado
2025-10-16 22:25:30 | INFO | sicar.main | 📢 ALERTA DASHBOARD: Dashboard mejorado iniciado correctamente
2025-10-16 22:27:09 | INFO | sicar.main | 🔄 SYNC LOAD: ✅ ÉXITO
2025-10-16 22:27:09 | INFO | sicar.main |    Detalles: Datos cargados: 15 campos
2025-10-16 22:28:01 | INFO | sicar.main | 🔄 SYNC LOAD: ✅ ÉXITO
2025-10-16 22:28:01 | INFO | sicar.main |    Detalles: Datos cargados: 15 campos
2025-10-16 22:28:45 | INFO | sicar.main | 🔄 SYNC LOAD: ✅ ÉXITO
2025-10-16 22:28:45 | INFO | sicar.main |    Detalles: Datos cargados: 15 campos
2025-10-16 22:29:49 | INFO | sicar.main | 📢 ALERTA BREAKOUT_DETECTOR: Detector de breakouts detenido
2025-10-16 22:29:49 | INFO | sicar.main | 🔄 SYNC AUTO_SYNC: ✅ ÉXITO
2025-10-16 22:29:49 | INFO | sicar.main |    Detalles: Sincronización automática detenida
2025-10-16 22:29:49 | INFO | sicar.main | 📢 ALERTA DASHBOARD: Dashboard cerrado correctamente
2025-10-16 22:30:17 | INFO | sicar.main | 🔄 SYNC LOAD: ✅ ÉXITO
2025-10-16 22:30:17 | INFO | sicar.main |    Detalles: Datos cargados: 15 campos
2025-10-16 22:30:21 | INFO | sicar.main | 📢 ALERTA OBSERVER_ADDED: Observador agregado al detector de breakouts
2025-10-16 22:30:21 | INFO | sicar.main | 🔄 SYNC AUTO_SYNC: ✅ ÉXITO
2025-10-16 22:30:21 | INFO | sicar.main |    Detalles: Sincronización automática iniciada
2025-10-16 22:30:21 | INFO | sicar.main | 📢 ALERTA BREAKOUT_DETECTOR: Detector de breakouts iniciado
2025-10-16 22:30:21 | INFO | sicar.main | 📢 ALERTA DASHBOARD: Dashboard mejorado iniciado correctamente
2025-10-16 22:30:29 | INFO | sicar.main | 🔄 SYNC UPDATE: ✅ ÉXITO
2025-10-16 22:30:29 | INFO | sicar.main |    Detalles: Campos actualizados: ['auto_trading', 'auto_trading_changed_at', 'auto_trading_reason']
2025-10-16 22:30:29 | INFO | sicar.main | 🤖 AUTO TRADING DESACTIVADO
2025-10-16 22:30:29 | INFO | sicar.main |    Razón: Desactivado desde dashboard
2025-10-16 22:30:30 | INFO | sicar.main | 🔄 SYNC UPDATE: ✅ ÉXITO
2025-10-16 22:30:30 | INFO | sicar.main |    Detalles: Campos actualizados: ['auto_trading', 'auto_trading_changed_at', 'auto_trading_reason']
2025-10-16 22:30:30 | INFO | sicar.main | 🤖 AUTO TRADING ACTIVADO
2025-10-16 22:30:30 | INFO | sicar.main |    Razón: Activado desde dashboard
2025-10-16 22:34:17 | INFO | sicar.main | 🔄 SYNC LOAD: ✅ ÉXITO
2025-10-16 22:34:17 | INFO | sicar.main |    Detalles: Datos cargados: 15 campos
2025-10-16 22:34:21 | INFO | sicar.main | 📢 ALERTA OBSERVER_ADDED: Observador agregado al detector de breakouts
2025-10-16 22:34:21 | INFO | sicar.main | 🔄 SYNC AUTO_SYNC: ✅ ÉXITO
2025-10-16 22:34:21 | INFO | sicar.main |    Detalles: Sincronización automática iniciada
2025-10-16 22:34:21 | INFO | sicar.main | 📢 ALERTA BREAKOUT_DETECTOR: Detector de breakouts iniciado
2025-10-16 22:34:21 | INFO | sicar.main | 📢 ALERTA DASHBOARD: Dashboard mejorado iniciado correctamente
2025-10-16 22:34:44 | INFO | sicar.main | 🔄 SYNC UPDATE: ✅ ÉXITO
2025-10-16 22:34:44 | INFO | sicar.main |    Detalles: Campos actualizados: ['auto_trading', 'auto_trading_changed_at', 'auto_trading_reason']
2025-10-16 22:34:44 | INFO | sicar.main | 🤖 AUTO TRADING DESACTIVADO
2025-10-16 22:34:44 | INFO | sicar.main |    Razón: Desactivado desde dashboard
2025-10-16 22:34:44 | INFO | sicar.main | 🔄 SYNC UPDATE: ✅ ÉXITO
2025-10-16 22:34:44 | INFO | sicar.main |    Detalles: Campos actualizados: ['auto_trading', 'auto_trading_changed_at', 'auto_trading_reason']
2025-10-16 22:34:44 | INFO | sicar.main | 🤖 AUTO TRADING ACTIVADO
2025-10-16 22:34:44 | INFO | sicar.main |    Razón: Activado desde dashboard
2025-10-16 22:39:54 | INFO | sicar.main | 🔄 SYNC LOAD: ✅ ÉXITO
2025-10-16 22:39:54 | INFO | sicar.main |    Detalles: Datos cargados: 15 campos
2025-10-16 22:39:57 | INFO | sicar.main | 📢 ALERTA PAPER_TRADING: Motor de paper trading inicializado con $200.00
2025-10-16 22:39:58 | INFO | sicar.main | 📢 ALERTA OBSERVER_ADDED: Observador agregado al detector de breakouts
2025-10-16 22:39:58 | INFO | sicar.main | 🔄 SYNC AUTO_SYNC: ✅ ÉXITO
2025-10-16 22:39:58 | INFO | sicar.main |    Detalles: Sincronización automática iniciada
2025-10-16 22:39:58 | INFO | sicar.main | 📢 ALERTA BREAKOUT_DETECTOR: Detector de breakouts iniciado
